Country Name,2006,2007,2008,2009,2010
China,5817.1435,6184.09582,6721.43382,7204.88549,8320.96269
United States,5914.5024,6015.75348,5835.37834,5427.06527,5610.10826
India,1282.68148,1368.38303,1474.19984,1622.69816,1695.62254
Russia,1621.73555,1566.37887,1630.98521,1448.46068,1633.80431
Japan,1239.88936,1254.43846,1215.48436,1104.60337,1164.46589
Germany,850.62032,827.23431,823.06515,762.95279,793.65509
"Korea, South",484.21004,503.09967,521.77008,531.07189,578.97333
Iran,477.03711,489.32231,512.05131,548.891,560.33482
Canada,597.22993,609.90887,600.04012,551.24619,548.75433
United Kingdom,585.49888,569.89458,563.86835,518.96939,532.44233
Saudi Arabia,406.14255,396.4678,425.70574,438.24682,478.40697
South Africa,444.59949,463.84563,486.49683,458.89905,465.09659
Brazil,383.13643,400.44169,426.5364,414.66266,453.87038
Mexico,436.95375,444.27026,452.7933,432.379,445.28347
Italy,467.48605,459.5288,449.74859,408.46251,416.373
Australia,400.85593,408.46479,412.87434,411.6046,405.34226
France,416.3678,423.05632,428.5457,395.50484,395.19505
Indonesia,360.28645,390.21963,405.37142,417.58645,389.42835
Spain,376.05536,387.9257,360.12833,326.65673,316.42606
Taiwan,297.07758,293.66206,290.40367,278.95737,305.37921
Poland,299.14629,295.94881,294.76021,304.45131,303.69515
Thailand,237.22011,247.35347,255.03207,258.89559,278.48984
Ukraine,333.31144,354.09881,352.80205,260.31149,275.51022
Turkey,250.95748,280.19062,272.90035,257.03412,263.54305
Netherlands,269.9252,258.10382,249.49727,248.7542,263.43552
United Arab Emirates,155.32627,171.58193,195.80483,192.44102,199.36926
Egypt,152.69455,159.55279,183.05928,189.48217,196.547
Kazakhstan,180.0946,181.98328,184.74429,171.83391,184.47368
Malaysia,150.2426,149.96206,164.73304,179.12697,181.92582
Singapore,140.1025,146.94153,156.42817,153.2132,172.18833
Argentina,157.24241,168.89873,171.45519,167.24877,169.82911
Venezuela,150.82786,152.88671,161.90059,158.99564,158.43823
Pakistan,131.04007,141.28078,139.75084,142.07189,151.64986
Belgium,142.32897,141.71804,154.74387,130.87804,127.18866
Iraq,91.90735,98.78852,104.54354,108.41815,118.3088
Uzbekistan,121.15045,122.89486,127.11915,115.63761,114.26581
Vietnam,83.66768,88.36699,103.44802,105.79293,112.79539
Algeria,94.64754,101.14551,106.83238,112.19204,110.9008
Greece,105.72397,109.46711,106.04136,101.02459,92.99146
Czech Republic,96.83236,103.5454,99.10063,92.06874,90.82606
Philippines,75.09965,73.70116,74.30476,72.9262,85.62829
Hong Kong,80.24953,84.26029,79.05293,87.04009,83.77519
Kuwait,77.31162,75.14338,78.75054,83.67429,81.32784
Nigeria,103.15127,100.71254,100.61902,74.14244,80.50605
Romania,101.66423,101.00326,96.0143,80.81058,78.42691
Colombia,61.06586,62.17668,65.03946,66.87155,72.3114
Israel,68.59979,69.1287,66.84988,68.70174,70.32116
Austria,74.29737,72.21212,71.01278,64.91026,69.46077
Chile,69.9084,60.42066,65.19128,62.54778,68.75656
Belarus,66.42475,68.09862,66.94103,60.62431,68.24442
Qatar,55.66985,58.70699,60.6777,63.62364,64.68372
"Korea, North",75.7157,62.93854,69.58386,67.06735,63.68979
Syria,52.09843,53.07751,54.81566,58.76453,63.10104
Sweden,56.73196,56.5168,54.76994,50.72204,62.73665
Turkmenistan,49.95931,53.29157,57.35763,56.5512,62.05142
Libya,52.48392,54.06662,57.24479,55.038,60.60376
Bangladesh,44.58887,46.28323,50.3917,54.38811,56.7439
Oman,35.57785,37.65641,44.50841,48.91418,55.20454
Finland,57.92262,58.158,54.86027,52.28506,54.40388
Portugal,61.47421,59.67297,55.73528,56.34018,51.43229
Hungary,58.51219,56.62752,56.05233,50.2405,50.39326
Trinidad and Tobago,47.20115,46.64316,49.55566,47.67783,49.93236
Serbia,53.80058,51.00047,51.74626,49.85925,49.92353
Denmark,59.31292,56.87549,54.21981,49.59772,45.96204
Switzerland,45.54336,43.87636,45.33826,45.8196,45.54636
Bulgaria,52.69474,51.7737,50.49374,42.94589,42.17476
Peru,32.72269,32.20682,34.27879,37.9811,41.88366
Norway,41.04376,42.13954,40.02858,43.49147,41.79807
Ireland,46.06713,45.16689,45.52203,40.50383,40.47895
New Zealand,39.84475,39.06231,40.18862,38.21674,39.57918
Morocco,35.67051,36.10829,37.23046,37.4573,35.66228
Azerbaijan,39.78622,33.72305,38.38583,34.64561,35.12235
Slovakia,39.68137,37.72669,37.41842,34.29914,34.54182
Cuba,25.21778,26.3714,29.10583,30.47666,34.46437
Puerto Rico,37.86652,34.17235,34.37078,33.26163,30.8557
Bahrain,27.81628,29.18862,30.53437,30.81234,30.68965
Yemen,18.97605,18.54596,22.83519,26.80195,26.49981
Ecuador,26.55117,26.51204,27.1163,27.55006,24.43427
Angola,21.26804,24.08627,23.44381,23.86567,24.19579
Croatia,22.81994,21.92417,22.33086,20.2412,23.42614
Estonia,18.63206,20.8865,19.88809,16.87162,20.55844
Bosnia and Herzegovina,19.58064,20.11647,21.89855,21.61172,20.14112
Dominican Republic,18.43152,19.15992,19.39686,19.80847,19.60066
Jordan,20.05841,19.86137,19.29528,19.71252,19.06514
Tunisia,21.27892,20.20195,21.69186,19.2915,18.71713
Slovenia,17.07942,16.90341,17.29581,17.1983,17.42431
Lithuania,16.55272,17.7792,18.22991,15.8999,15.98426
Panama,14.87685,15.1649,14.98225,15.2399,15.4553
Lebanon,13.39559,12.54014,14.65259,15.41309,15.23801
Sri Lanka,12.74367,13.05646,12.44213,12.74527,14.08692
Sudan and South Sudan,12.39016,11.97678,12.10186,12.94618,13.7905
Bolivia,12.80602,12.96387,14.00281,13.62321,13.29073
Guatemala,11.2661,12.31209,11.56221,12.68179,12.97181
Burma (Myanmar),13.83768,14.72179,13.75916,12.55678,12.7972
Kenya,11.32301,11.20114,11.04056,11.30706,12.24952
"Virgin Islands,  U.S.",16.58445,14.74716,12.93401,12.48685,11.9499
