Country Name,Country Code,2006,2007,2008,2009,2010
Afghanistan,AFG,7721931671.42095,9707373721.07853,11940296131.2844,14213670485.3132,17243112603.5529
Albania,ALB,9132562332.43024,10704660840.2938,12968653524.7799,12044881925.4123,11786099137.931
Algeria,DZA,117169320524.244,135803556324.92,170989269622.037,138119949894.696,161979404726.696
American Samoa,ASM,,,,,
Andorra,AND,2823503852.62328,3245411583.7197,3712034266.50674,,
Angola,AGO,45163239832.4302,60451594399.3951,84178512502.4322,75492699947.8117,84937012042.8837
Antigua and Barbuda,ATG,1162579142.80145,1317888612.65117,1378060572.22222,1253197123.26667,1211324625.82222
Argentina,ARG,214066231199.562,260768703249.434,326676673164.783,307081774895.424,368736062143.67
Armenia,ARM,6384457744.44765,9206277478.95229,11662017844.8868,8648015304.9989,9371187175.50714
Aruba,ABW,,,,,
Australia,AUS,749805330937.406,857056606736.28,1061583398304.17,924197418942.73,1131623072708.35
Austria,AUT,324954402044.306,375041784029.848,414173646317.794,381775164862.338,379069258278.146
Azerbaijan,AZE,20982270733.2484,33049380917.6985,48852482960.0779,44291490420.5026,51774221668.7422
"Bahamas, The",BHS,7965588000,8318996000,8240145000,7806746000,7701560000
Bahrain,BHR,15854942950.6104,18473097688.7683,21902892583.9637,20594899945.7441,
Bangladesh,BGD,61901116736.1525,68415421372.7194,79554350677.7438,89359767441.8605,100357022443.833
Barbados,BRB,3190900000,3409200000,3670215312.5,3595210912.5,4109500000
Belarus,BLR,36961918858.7385,45275711995.825,60763483146.0674,49271267252.1957,54713128376.2687
Belgium,BEL,399800035376.426,459338824424.681,507020324458.93,472877558023.069,469374172185.43
Belize,BLZ,1213104430.03398,1276751655.94473,1358700000,1349000000,1401000000
Benin,BEN,4734839067.49029,5546177809.02921,6682744914.13769,6638062119.58847,6633055845.51675
Bermuda,BMU,5414229000,5895048000,6109928000,5806378000,5764584000
Bhutan,BTN,897673802.692562,1196045949.21403,1257478740.51942,1264687048.13055,1516078205.35534
Bolivia,BOL,11451297465.9489,13120517443.1596,16675015771.1304,17339992191.2277,19649724655.5819
Bosnia and Herzegovina,BIH,12254412802.2577,15240296710.9867,18512268573.9964,17049506356.9856,16577887610.0203
Botswana,BWA,11255175568.2467,12376435509.5494,13473345712.5461,11473685551.286,14858673700.287
Brazil,BRA,1088917279411.76,1365982651542.37,1652632229227.61,1594489675023.99,2087889553821.68
Brunei Darussalam,BRN,11470703002.0769,12247627894.6321,14393099068.5859,10732435033.6862,
Bulgaria,BGR,33209188725.2826,42113655820.4824,51824867626.646,48568714011.5163,47714490182.803
Burkina Faso,BFA,5771194544.66717,6766986320.8059,8045823005.29242,8140859745.94757,8820312673.51401
Burundi,BDI,918823350.843849,979785001.894867,1168900171.20255,1330790159.55901,1610544922.06225
Cambodia,KHM,7274424518.56764,8639164917.03738,10351829065.6013,10401935531.8245,11242266333.9246
Cameroon,CMR,17956985510.8337,20684301372.2532,23735764303.8147,22181923120.3325,22480348401.0867
Canada,CAN,1278610846644.8,1424065729447.91,1502678437546.86,1337577639751.55,1577040082217.76
Cape Verde,CPV,1107890815.24702,1331208451.89524,1550561857.99088,1586926461.61072,1648093063.02038
Cayman Islands,CYM,,,,,
Central African Republic,CAF,1476870078.0092,1696340453.23379,1982983854.75983,1980151889.29786,2013014939.11488
Chad,TCD,6099009022.99145,7016297534.47555,8357142857.14286,6838983050.84746,7587673160.67574
Channel Islands,CHI,9676172953.08188,11514605842.3369,,,
Chile,CHL,146772604312.845,164315221641.827,170741003929.264,160859264563.347,212740792703.085
China,CHN,2712950886698.27,3494055944791.32,4521827288303.98,4991256406734.99,5926612009749.61
Colombia,COL,162807996675.12,207410686361.777,244645672494.99,235836552597.285,288885551849.686
Comoros,COM,403177193.564016,464949227.987203,530138454.667262,535336307.674931,541097513.043197
